bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.474,0.237,0.088,16467,11379,8854
1B _ _,0.869,0.514,0.206,4288,4722,4866
_ 2B _,1.139,0.686,0.309,1020,2277,2661
_ _ 3B,1.395,1.018,0.377,266,732,968
1B 2B _,1.544,1.002,0.439,1020,1933,2537
1B _ 3B,1.708,1.263,0.513,394,820,827
_ 2B 3B,1.746,1.409,0.608,236,714,625
1B 2B 3B,2.013,1.606,0.679,239,733,806
