bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.550,0.301,0.110,43625,30984,24631
1B _ _,0.934,0.573,0.241,10023,11407,11228
_ 2B _,1.162,0.743,0.365,3425,5500,7135
_ _ 3B,1.451,0.966,0.373,481,1930,2985
1B 2B _,1.585,0.966,0.456,2699,4598,5799
1B _ 3B,1.825,1.181,0.500,938,2031,2707
_ 2B 3B,1.960,1.460,0.589,646,1716,1878
1B 2B 3B,2.402,1.693,0.822,742,1835,2142
