bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.445,0.240,0.094,28793,20822,16801
1B _ _,0.796,0.487,0.201,6537,7549,7729
_ 2B _,1.023,0.655,0.321,1731,3462,4411
_ _ 3B,1.244,0.895,0.355,410,1147,1575
1B 2B _,1.398,0.873,0.400,1374,2617,3681
1B _ 3B,1.557,1.131,0.524,635,1239,1614
_ 2B 3B,1.818,1.224,0.560,335,958,971
1B 2B 3B,2.191,1.294,0.713,366,932,1155
