bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.495,0.264,0.104,43318,31116,24702
1B _ _,0.865,0.509,0.230,9688,11171,11066
_ 2B _,1.101,0.679,0.324,3339,5441,7021
_ _ 3B,1.366,0.932,0.341,505,1776,2794
1B 2B _,1.430,0.887,0.459,2571,4371,5621
1B _ 3B,1.812,1.100,0.468,920,1928,2639
_ 2B 3B,1.984,1.402,0.590,624,1615,1877
1B 2B 3B,2.384,1.534,0.789,685,1667,2125
