bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.471,0.246,0.084,18038,12399,9532
1B _ _,0.869,0.500,0.202,4826,5404,5497
_ 2B _,1.021,0.707,0.321,1103,2517,2925
_ _ 3B,1.359,0.922,0.390,234,760,1041
1B 2B _,1.605,0.934,0.427,1061,2063,2931
1B _ 3B,1.595,1.160,0.519,484,972,1033
_ 2B 3B,2.042,1.513,0.658,238,727,692
1B 2B 3B,2.498,1.680,0.725,285,805,915
