bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.508,0.273,0.108,43717,31668,25464
1B _ _,0.870,0.522,0.223,9596,11484,11269
_ 2B _,1.148,0.675,0.316,3178,4925,6378
_ _ 3B,1.347,0.947,0.364,499,1770,2687
1B 2B _,1.445,0.921,0.423,2362,4197,5233
1B _ 3B,1.756,1.191,0.474,860,1863,2409
_ 2B 3B,1.944,1.377,0.547,629,1501,1820
1B 2B 3B,2.138,1.567,0.705,660,1588,1850
