Event,code,N,Runs to End of Inning,Average Runs
Interference,INT,2,8.0,4.000
Home Run,HR,809,1606.0,1.985
Triple,3B,1061,1725.0,1.626
Double,2B,3687,4987.0,1.353
Intentional Walk,IBB,245,262.0,1.069
Wild Pitch,WP,299,317.0,1.060
Single,1B,15772,16491.0,1.046
Sac Bunt,SAC,2190,2215.0,1.011
Error,RBOE,1347,1285.0,0.954
Hit by Pitch,HBP,497,468.0,0.942
Fielder's Choice,FC,714,671.0,0.940
Balk,BK,53,47.0,0.887
Non-Intentional Walk,NIBB,6370,5488.0,0.862
Passed Ball,PB,139,119.0,0.856
Stolen Base,SB,1191,920.0,0.772
Defensive Indifference,DI,57,33.0,0.579
Bunt,BUNT,492,220.0,0.447
Other,OTHER,96,39.0,0.406
Foul Error,FLE,75,29.0,0.387
Pickoff,PK,430,155.0,0.360
Out (on Batted Ball),OUT,46760,10692.0,0.229
Strikeout,K,6076,1260.0,0.207
Caught Stealing,CS,1040,81.0,0.078
