bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.445,0.233,0.086,24621,17606,14052
1B _ _,0.816,0.489,0.204,5503,6192,6372
_ 2B _,1.027,0.637,0.321,1866,3390,4093
_ _ 3B,1.356,0.893,0.343,379,1167,1656
1B 2B _,1.404,0.878,0.434,1293,2484,3193
1B _ 3B,1.712,1.109,0.423,601,1135,1430
_ 2B 3B,1.921,1.330,0.556,331,849,934
1B 2B 3B,2.324,1.528,0.714,312,798,1034
