bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.552,0.292,0.105,20223,13697,10623
1B _ _,0.959,0.585,0.230,5386,6134,5933
_ 2B _,1.208,0.755,0.371,1473,2853,3398
_ _ 3B,1.338,1.004,0.388,379,1157,1534
1B 2B _,1.604,1.041,0.474,1181,2145,2648
1B _ 3B,1.933,1.270,0.550,613,1286,1364
_ 2B 3B,2.033,1.492,0.689,331,986,932
1B 2B 3B,2.487,1.706,0.947,304,755,918
